question_id,category,gold,qwen_choice,qwen_correct,gemini_choice,gemini_correct,jev_selected_model,jev_error,laya_selected_model,laya_error,jev_correct,laya_correct,oracle_correct
4689,history,H,,False,G,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
4722,history,E,,False,E,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,True,True
4725,history,H,H,True,H,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
4734,history,B,B,True,B,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
4842,history,A,,False,A,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,True,True
4853,history,I,I,True,I,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
4873,history,I,,False,D,False,qwen/qwen3.5-9b,,qwen/qwen3.5-9b,,False,False,False
4880,history,G,,False,I,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
4893,history,E,C,False,C,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
4900,history,D,D,True,D,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
4906,history,E,F,False,F,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
4907,history,D,D,True,D,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
4913,history,A,A,True,A,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
4933,history,H,B,False,A,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
4963,history,G,G,True,G,True,qwen/qwen3.5-9b,,qwen/qwen3.5-9b,,True,True,True
4974,history,I,I,True,I,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
5000,history,I,,False,I,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,True,True
5008,history,E,C,False,J,False,qwen/qwen3.5-9b,,qwen/qwen3.5-9b,,False,False,False
5024,history,D,A,False,A,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
5166,other,I,F,False,F,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
5227,other,C,B,False,C,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,True,True
5229,other,A,G,False,C,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
5265,other,I,,False,I,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,True,True
5306,other,H,C,False,C,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
5345,other,A,A,True,G,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,False,True
5370,other,F,F,True,F,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
5418,other,B,B,True,B,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
5431,other,B,B,True,B,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
5497,other,J,J,True,J,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
5529,other,B,,False,E,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
5580,other,J,J,True,J,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
5594,other,D,D,True,D,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
5628,other,H,H,True,H,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
5710,other,E,E,True,E,True,qwen/qwen3.5-9b,,qwen/qwen3.5-9b,,True,True,True
5726,other,F,B,False,B,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
5770,other,D,D,True,D,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
5800,other,A,A,True,A,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
5879,other,H,F,False,J,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
5981,other,F,F,True,F,True,qwen/qwen3.5-9b,,qwen/qwen3.5-9b,,True,True,True
6037,health,C,C,True,C,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
6038,health,C,,False,C,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,True,True
6059,health,B,,False,I,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
6085,health,H,H,True,H,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
6105,health,J,J,True,J,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
6135,health,J,,False,J,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,True,True
6155,health,C,C,True,C,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
6275,health,A,,False,C,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
6278,health,C,B,False,B,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
6340,health,F,F,True,F,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
6348,health,B,B,True,B,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
6361,health,G,,False,I,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
6451,health,J,J,True,E,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,False,True
6461,health,D,D,True,B,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,False,True
6524,health,F,F,True,F,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
6561,health,F,F,True,A,False,qwen/qwen3.5-9b,,qwen/qwen3.5-9b,,True,True,True
6680,health,I,I,True,I,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
6703,health,D,D,True,D,True,qwen/qwen3.5-9b,,qwen/qwen3.5-9b,,True,True,True
6713,health,E,H,False,H,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
6779,health,I,I,True,I,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
6836,economics,E,,False,I,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
6922,economics,A,A,True,A,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
6963,economics,E,E,True,C,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,False,True
6997,economics,F,F,True,F,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
7041,economics,A,A,True,F,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,False,True
7044,economics,C,C,True,C,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
7095,economics,B,B,True,B,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
7167,economics,J,,False,H,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
7204,economics,C,C,True,C,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
7362,economics,G,G,True,G,True,qwen/qwen3.5-9b,,qwen/qwen3.5-9b,,True,True,True
7383,economics,G,G,True,G,True,qwen/qwen3.5-9b,,qwen/qwen3.5-9b,,True,True,True
7419,economics,J,J,True,J,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
7445,economics,I,I,True,I,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
7448,economics,J,J,True,J,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
7461,economics,G,G,True,G,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
7534,economics,H,,False,D,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
7606,economics,H,H,True,H,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
7628,economics,B,B,True,B,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
7635,economics,A,A,True,A,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
7651,economics,B,B,True,B,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
7915,math,B,B,True,B,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
7953,math,A,A,True,A,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
7981,math,I,I,True,B,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,False,True
8148,math,H,H,True,D,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,False,True
8214,math,B,,False,B,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,True,True
8229,math,G,G,True,G,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
8277,math,A,A,True,G,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,False,True
8320,math,D,D,True,D,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
8321,math,I,,False,F,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
8340,math,A,A,True,A,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
8474,math,B,B,True,B,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
8518,math,J,J,True,G,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,False,True
8594,math,H,H,True,H,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
8597,math,C,C,True,C,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
8632,math,I,,False,D,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
8688,math,E,E,True,E,True,google/gemini-2.5-flash-lite,,google/gemini-2.5-flash-lite,,True,True,True
8719,math,I,I,True,A,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,False,True
8739,math,E,E,True,E,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
8775,math,A,A,True,G,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,False,True
8815,math,E,E,True,D,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,False,True
9065,physics,B,B,True,F,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,False,True
9323,physics,A,A,True,A,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
9409,physics,A,A,True,A,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
9410,physics,H,H,True,J,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,False,True
9452,physics,A,A,True,A,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
9454,physics,I,I,True,E,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,False,True
9531,physics,F,F,True,F,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
9542,physics,H,B,False,B,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
9623,physics,A,A,True,A,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
9678,physics,I,,False,E,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
9855,physics,H,H,True,H,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
9859,physics,H,,False,H,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,True,True
9957,physics,C,,False,D,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
9972,physics,G,G,True,D,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,False,True
10112,physics,E,E,True,G,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,False,True
10153,physics,F,,False,F,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,True,True
10159,physics,A,A,True,A,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
10167,physics,D,D,True,D,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
10188,physics,I,I,True,H,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,False,True
10205,physics,B,B,True,B,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
10367,computer science,F,F,True,F,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
10383,computer science,J,J,True,I,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,False,True
10402,computer science,I,,False,C,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
10408,computer science,C,C,True,C,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
10420,computer science,J,J,True,H,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,False,True
10463,computer science,H,,False,H,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,True,True
10468,computer science,D,D,True,D,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
10491,computer science,B,B,True,A,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,False,True
10494,computer science,D,,False,B,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
10530,computer science,C,C,True,C,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
10533,computer science,B,C,False,C,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
10539,computer science,E,E,True,E,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
10604,computer science,F,F,True,F,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
10631,computer science,D,D,True,A,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,False,True
10642,computer science,B,B,True,B,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
10657,computer science,E,,False,A,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
10689,computer science,G,G,True,G,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
10731,computer science,E,E,True,E,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
10734,computer science,I,I,True,D,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,False,True
10765,computer science,A,A,True,A,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
10909,philosophy,J,J,True,J,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
10913,philosophy,B,B,True,B,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
10953,philosophy,B,,False,C,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
10967,philosophy,A,A,True,A,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
10969,philosophy,H,H,True,H,True,qwen/qwen3.5-9b,,qwen/qwen3.5-9b,,True,True,True
10975,philosophy,H,,False,H,True,qwen/qwen3.5-9b,,qwen/qwen3.5-9b,,False,False,True
11003,philosophy,B,,False,B,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,True,True
11013,philosophy,A,A,True,D,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,False,True
11044,philosophy,D,D,True,D,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
11048,philosophy,F,,False,F,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,True,True
11086,philosophy,D,D,True,D,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
11091,philosophy,B,B,True,D,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,False,True
11109,philosophy,A,A,True,A,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
11120,philosophy,B,B,True,B,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
11129,philosophy,I,I,True,I,True,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,True,True,True
11168,philosophy,B,B,True,B,True,qwen/qwen3.5-9b,,qwen/qwen3.5-9b,,True,True,True
11199,philosophy,C,A,False,B,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
11201,philosophy,E,B,False,F,False,qwen/qwen3.5-9b,,google/gemini-2.5-flash-lite,,False,False,False
